t1,t2,t3,t4,xr2,yr2,xr3,yr3,xr4,yr4,EAB
1.61,1.918,1.439,1.578,4.564,1.968,5.855,2.96,3.327,2.477,0.13 
1.633,1.993,1.685,1.727,4.516,2.656,3.136,2.923,6.174,2.962,0.12 
1.428,1.143,1.128,1.223,6.436,2.235,4.283,2.659,3.788,1.517,0.38 
1.252,1.155,1.813,1.511,5.001,2.849,6.383,2.072,4.707,1.529,0.32 
1.659,1.17,1.447,1.396,3.27,1.99,5.008,2.601,4.348,1.545,0.48 
1.818,1.231,1.332,1.495,5.272,2.449,5.534,2.518,4.991,2.721,0.39 
1.298,1.783,1.228,1.552,3.106,2.193,4.507,2.469,4.401,1.71,0.54 
1.798,1.036,1.659,1.349,4.359,1.628,5.143,2.236,3.136,2.505,0.55 
1.97,1.922,1.719,1.245,5.71,2.682,5.365,2.303,6.346,2.229,0.34 
1.65,1.01,1.533,1.188,6.317,2.69,4.743,1.965,5.256,1.769,0.47 
1.911,1.35,1.707,1.39,3.85,2.983,4.091,2.616,4.723,2.797,0.55 
1.142,1.892,1.107,1.932,6.299,1.908,3.858,2.702,3.427,2.159,0.60 
1.406,1.977,1.669,1.434,6.36,2.081,3.615,2.747,5.134,1.691,0.45 
1.249,1.645,1.316,1.807,3.291,2.593,5.513,2.126,4.678,2.753,0.40 
1.574,1.126,1.1,1.992,3.937,2.844,3.793,2.017,6.121,2.017,0.57 
1.809,1.133,1.96,1.746,3.315,2.912,3.924,2.362,5.046,2.849,0.43 
1.914,1.517,1.686,1.967,3.322,2.002,5.447,2.972,4.917,2.242,0.21 
1.56,1.605,1.373,1.982,3.143,2.766,3.278,1.774,5.507,1.919,0.57 
1.517,1.259,1.462,1.684,5.303,2.878,5.749,1.752,5.755,2.959,0.33 
1.752,1.512,1.117,1.614,5.813,2.777,4.291,2.687,3.825,2.036,0.40 
1.351,1.614,1.627,1.081,3.203,1.76,6.481,2.407,4.139,2.537,0.26 
1.962,1.673,1.58,1.417,5.505,2.169,5.444,1.729,3.112,2.297,0.50 
1.528,1.837,1.164,1.466,3.275,1.622,5.995,2.679,6.269,1.596,0.17 
1.279,1.349,1.904,1.698,3.566,1.604,4.595,2.205,6.147,2.564,0.04 
1.946,1.854,1.922,1.904,3.685,2.583,3.38,1.573,4.521,2.456,0.73 
1.514,1.229,1.141,1.454,3.734,2.759,5.864,1.675,4.758,1.56,0.47 
1.231,1.072,1.321,1.729,3.485,1.802,3.179,1.739,3.172,2.512,0.67 
1.598,1.877,1.036,1.632,6.359,1.697,3.478,1.662,3.303,2.11,0.54 
1.376,1.092,1.322,1.242,6.279,1.713,3.656,2.984,4.783,2.172,0.42 
1.81,1.663,1.361,1.766,5.66,2.327,3.498,1.663,5.059,2.584,0.45 
1.977,1.62,1.843,1.107,5.968,2.279,5.955,1.944,5.907,2.314,0.38 
1.001,1.714,1.191,1.769,6.329,1.996,6.09,1.873,4.051,2.334,0.47 
1.482,1.334,1.253,1.487,3.272,1.691,6.157,1.726,3.56,2.906,0.41 
1.473,1.909,1.034,1.17,4.011,2.519,5.767,2.309,5.631,1.679,0.48 
1.362,1.022,1.111,1.447,5.448,2.174,4.067,1.556,5.107,1.731,0.43 
1.658,1.462,1.224,1.565,5.479,1.686,5.784,1.753,6.352,1.716,0.45 
1.592,1.736,1.81,1.653,5.354,1.833,4.747,1.734,4.501,1.874,0.68 
1.265,1.105,1.471,1.575,5.027,2.043,6.085,2.172,5.421,2.527,0.39 
1.374,1.271,1.276,1.908,4.317,2.195,4.621,2.951,5.038,2.903,0.41 
1.044,1.428,1.996,1.083,3.395,2.503,6.499,2.552,6.3,2.07,0.29 
1.483,1.736,1.372,1.538,4.938,1.892,4.671,2.247,6.052,2.413,0.39 
1.827,1.379,1.135,1.041,3.267,2.067,5.587,2.821,3.73,1.789,0.37 
1.163,1.502,1.186,1.183,3.293,1.634,4.045,2.175,5.728,2.351,0.31 
1.995,1.475,1.831,1.618,4.636,2.224,5.325,1.758,5.738,1.762,0.53 
1.962,1.308,1.832,1.004,4.666,2.907,6.107,2.456,3.937,1.802,0.35 
1.042,1.756,1.918,1.975,4.092,2.803,5.539,2.095,5.422,1.912,0.45 
1.432,1.809,1.937,1.848,4.77,1.566,4.235,2.68,4.79,2.145,0.34 
1.376,1.992,1.6,1.455,3.818,1.845,5.262,2.201,4.558,2.599,0.30 
1.074,1.341,1.469,1.396,6.101,2.24,3.907,1.839,6.314,1.768,0.44 
1.024,1.2,1.034,1.448,6.351,1.777,5.44,2.544,3.823,1.618,0.30 
1.461,1.188,1.05,1.833,4.358,2.229,6.384,2.254,4.925,1.748,0.40 
1.389,1.99,1.424,1.746,4.393,2.444,5.658,1.838,5.693,1.918,0.62 
1.93,1.139,1.431,1.066,4.109,2.303,3.522,2.179,5.628,2.678,0.54 
1.728,1.767,1.534,1.632,4.74,2.79,3.306,2.058,4.299,1.58,0.71 
1.748,1.6,1.266,1.019,5.605,2.09,3.514,2.637,6.112,2.058,0.48 
1.492,1.329,1.012,1.514,4.598,2.238,5.349,1.731,4.796,2.854,0.52 
1.169,1.056,1.851,1.043,4.431,2.964,4.122,2.278,5.149,2.422,0.55 
1.193,1.893,1.457,1.369,4.858,2.564,5.148,2.69,4.535,2.793,0.48 
1.28,1.164,1.981,1.964,5.409,1.605,3.176,2.82,3.495,2.129,0.75 
1.955,1.064,1.611,1.783,3.109,2.818,4.468,2.204,3.1,2.301,0.69 
1.04,1.246,1.585,1.813,4.929,1.656,4.897,1.848,5.692,2.979,0.16 
1.402,1.805,1.596,1.866,5.446,1.575,5.132,1.657,4.986,2.119,0.61 
1.429,1.477,1.289,1.748,6.118,2.657,3.347,1.54,4.949,2.085,0.49 
1.035,1.914,1.595,1.83,3.37,2.08,4.957,2.199,4.979,1.559,0.44 
1.103,1.542,1.572,1.229,3.54,2.655,3.042,2.6,5.035,2.173,0.60 
1.771,1.054,1.891,1.503,3.816,1.574,6.428,2.038,4.031,1.533,0.32 
1.467,1.048,1.661,1.946,5.32,2.191,5.522,2.955,5.335,1.72,0.40 
1.774,1.865,1.665,1.565,6.12,2.342,6.256,1.805,3.68,2.165,0.47 
1.568,1.462,1.827,1.551,4.9,2.56,4.444,2.012,3.014,2.12,0.73 
1.262,1.18,1.454,1.783,3.463,1.799,5.75,2.649,5.802,2.548,0.10 
1.717,1.871,1.245,1.724,5.312,2.533,5.475,1.511,4.942,2.283,0.51 
1.426,1.891,1.689,1.035,4.094,2.142,3.187,1.991,4.257,1.919,0.73 
1.248,1.335,1.052,1.597,4.667,2.954,5.04,2.29,5.313,2.853,0.51 
1.124,1.489,1.207,1.393,6.372,2.869,4.578,1.617,5.708,2.331,0.50 
1.316,1.114,1.793,1.068,3.768,2.39,3.725,2.99,5.623,2.454,0.49 
1.51,1.8,1.151,1.054,3.429,1.73,3.523,1.513,3.181,1.587,0.60 
1.142,1.558,1.874,1.04,4.023,2.251,5.872,1.513,4.937,2.146,0.52 
1.251,1.971,1.157,1.398,4.006,1.868,5.07,1.634,6.141,2.006,0.42 
1.614,1.934,1.21,1.122,4.083,1.55,4.179,2.259,5.608,2.006,0.53 
1.484,1.208,1.239,1.953,5.241,2.748,5.741,1.515,5.147,2.804,0.43 
1.643,1.973,1.707,1.807,5.369,2.737,5.83,2.968,4.375,1.515,0.37 
1.177,1.33,1.285,1.555,5.482,2.617,4.663,1.9,6.377,1.645,0.45 
1.192,1.421,1.733,1.671,3.416,2.76,4.47,1.687,3.512,2.656,0.62 
1.045,1.636,1.549,1.465,3.397,2.093,3.465,2.815,3.563,1.654,0.71 
1.368,1.371,1.245,1.622,3.206,2.794,3.573,2.172,4.948,1.916,0.62 
1.682,1.147,1.073,1.756,4.941,2.133,3.361,2.251,5.155,2.942,0.53 
1.506,1.663,1.726,1.729,3.908,1.794,5.974,2.77,4.529,1.598,0.21 
1.056,1.733,1.419,1.721,5.478,2.47,6.101,1.881,5.227,1.941,0.52 
1.618,1.122,1.571,1.661,5.202,2.809,5.151,2.579,5.348,2.622,0.39 
1.036,1.165,1.64,1.597,3.596,2.776,6.206,2.983,5.455,1.584,0.27 
1.157,1.936,1.111,1.269,5.101,1.71,5.02,2.427,4.311,1.733,0.52 
1.096,1.625,1.882,1.388,3.422,2.133,5.652,1.994,4.691,1.651,0.39 
1.457,1.928,1.896,1.341,6.452,2.276,5.806,2.978,5.862,1.793,0.30 
1.86,1.698,1.52,1.064,5.975,2.082,3.443,1.856,3.948,2.298,0.53 
1.788,1.025,1.419,1.066,5.532,1.791,3.788,2.994,3.039,2.576,0.47 
1.637,1.385,1.253,1.916,5.86,2.812,5.224,2.095,6.318,2.096,0.40 
1.42,1.7,1.923,1.229,4.415,1.584,5.458,1.576,4.285,1.733,0.55 
1.614,1.165,1.048,1.353,4.347,2.284,5.371,1.784,3.651,2.596,0.50 
1.599,1.66,1.46,1.674,3.024,1.68,5.894,2.9,4.177,1.86,0.26 
1.844,1.633,1.336,1.918,6.135,2.829,4.222,2.324,3.016,2.249,0.47 
1.847,1.568,1.836,1.074,5.551,2.488,5.39,1.773,4.516,2.331,0.47 
1.71,1.753,1.387,1.809,3.839,2.025,5.875,2.218,4.256,2.199,0.47 
1.493,1.085,1.63,1.519,4.158,2.694,3.656,2.533,4.916,1.821,0.63 
1.999,1.256,1.249,1.678,5.014,2.399,3.226,2.244,6.173,2.266,0.40 
1.837,1.001,1.911,1.973,6.135,2.777,3.606,1.614,6.35,2.193,0.35 
1.254,1.202,1.167,1.997,4.238,1.748,4.156,2.717,5.154,2.155,0.57 
1.849,1.75,1.835,1.124,4.435,1.833,6.061,2.792,6.303,2.17,0.09 
1.556,1.259,1.89,1.774,4.082,1.623,4.064,2.252,4.267,2.694,0.50 
1.83,1.071,1.757,1.652,3.264,1.616,6.39,2.941,4.451,2.96,0.32 
1.402,1.711,1.76,1.888,4.98,1.785,4.139,2.2,3.641,2.64,0.71 
1.911,1.126,1.038,1.457,5.63,2.472,5.904,2.326,4.562,2.261,0.36 
1.814,1.736,1.013,1.838,4.828,1.663,5.067,2.182,4.168,2.366,0.63 
1.82,1.822,1.177,1.875,4.552,2.09,3.539,2.729,3.51,1.815,0.74 
1.357,1.98,1.169,1.179,5.33,2.126,5.576,2.891,5.819,2.45,0.29 
1.812,1.647,1.443,1.404,3.822,2.741,5.127,2.468,5.599,1.936,0.54 
1.215,1.967,1.939,1.429,6.415,1.608,5.51,1.588,4.634,2.49,0.41 
1.177,1.782,1.658,1.985,5.01,1.925,5.3,2.598,4.102,2.176,0.48 
1.975,1.363,1.55,1.731,3.245,2.381,4.33,2.451,4.674,1.675,0.66 
1.217,1.778,1.285,1.363,4.125,2.097,3.837,1.84,3.196,2.564,0.72 
1.278,1.641,1.884,1.042,5.638,1.529,5.244,1.721,3.483,1.914,0.54 
1.115,1.586,1.482,1.557,4.612,2.401,4.477,2.034,4.716,2.075,0.66 
1.006,1.159,1.356,1.141,3.429,1.921,5.352,2.792,5.855,1.569,0.25 
1.591,1.202,1.267,1.972,6.096,2.074,5.519,1.667,4.889,2.265,0.54 
1.14,1.204,1.919,1.232,6.076,2.717,3.016,1.69,3.462,1.591,0.45 
1.763,1.734,1.468,1.189,3.555,2.45,3.738,2.275,5.985,2.229,0.58 
1.96,1.017,1.11,1.426,3.07,1.719,6.342,2.59,3.126,1.601,0.27 
1.097,1.142,1.6,1.954,5.337,2.731,3.428,2.256,4.04,1.822,0.73 
1.739,1.334,1.551,1.873,4.918,2.109,3.974,2.315,6.297,1.721,0.61 
1.881,1.467,1.331,1.409,3.199,1.948,3.105,2.901,3.094,2.294,0.61 
1.59,1.477,1.794,1.846,4.272,1.864,4.599,1.971,5.016,2.692,0.34 
1.11,1.798,1.689,1.088,4.282,2.283,4.177,2.683,3.091,1.781,0.65 
1.612,1.532,1.931,1.534,6.489,1.907,4.858,2.657,5.433,2.086,0.39 
1.189,1.775,1.674,1.711,5.701,2.182,3.628,1.606,4.885,1.808,0.65 
1.01,1.624,1.871,1.843,4.167,2.278,6.057,2.897,4.152,1.648,0.32 
1.369,1.914,1.426,1.31,4.169,2.916,4.505,2.154,4.008,2.738,0.71 
1.321,1.852,1.685,1.981,6.461,2.881,5.884,2.75,5.467,2.576,0.38 
1.321,1.52,1.599,1.714,5.327,2.02,6.257,1.651,6.135,2.826,0.21 
1.429,1.879,1.931,1.105,4.719,2.104,5.013,2.232,4.782,2.273,0.61 
1.741,1.474,1.118,1.933,6.204,1.794,5.237,1.558,4.409,2.815,0.42 
1.502,1.744,1.369,1.812,6.244,2.353,3.811,2.008,5.256,2.389,0.48 
1.412,1.693,1.945,1.451,6.468,1.756,5.889,1.519,4.042,2.232,0.43 
1.52,1.903,1.958,1.762,3.714,2.297,4.533,2.998,3.481,2.669,0.32 
1.615,1.512,1.041,1.996,4.413,1.755,6.435,2.206,6.388,2.818,0.24 
1.546,1.031,1.556,1.204,5.074,2.882,4.697,2.33,4.225,2.436,0.51 
1.301,1.796,1.154,1.774,5.325,2.645,5.109,2.741,6.378,2.249,0.35 
1.402,1.638,1.226,1.698,5.436,2.393,4.057,1.819,3.551,2.23,0.65 
1.927,1.057,1.612,1.737,5.174,2.69,4.723,1.763,3.016,2.591,0.62 
1.893,1.001,1.54,1.797,4.785,1.627,3.843,2.379,3.853,1.921,0.64 
1.367,1.341,1.756,1.891,5.29,2.136,5.622,2.923,3.342,1.633,0.40 
1.256,1.464,1.818,1.996,5.537,1.965,3.186,2.052,3.602,2.82,0.75 
1.799,1.198,1.19,1.189,3.446,2.109,3.318,2.359,5.537,2.051,0.51 
1.964,1.632,1.668,1.696,6.262,2.396,6.421,2.565,4.356,2.613,0.38 
1.98,1.479,1.484,1.03,3.022,2.774,5.361,2.45,4.598,2.05,0.47 
1.566,1.484,1.772,1.501,6.085,2.276,4.154,1.604,5.827,2.635,0.38 
1.81,1.277,1.505,1.905,3.178,1.902,3.231,2.392,6.247,2.414,0.18 
1.706,1.944,1.296,1.597,4.597,2.392,4.798,2.703,3.548,2.805,0.55 
1.591,1.759,1.013,1.218,4.694,1.806,4.799,2.39,4.999,2.647,0.52 
1.977,1.937,1.847,1.515,4.804,2.106,5.988,1.941,5.454,2.256,0.39 
1.894,1.204,1.704,1.804,4.911,1.777,3.669,2.022,3.064,1.605,0.68 
1.773,1.464,1.373,1.047,3.914,1.637,3.536,2.86,4.895,1.96,0.54 
1.433,1.001,1.321,1.194,5.942,1.969,4.929,2.569,4.998,2.31,0.40 
1.787,1.727,1.922,1.61,4.008,2.778,4.365,2.276,3.403,1.894,0.81 
1.854,1.901,1.031,1.142,6.065,1.895,4.617,2.845,5.282,1.859,0.39 
1.323,1.83,1.65,1.819,6.397,2.088,4.588,2.9,3.254,2.548,0.47 
1.853,1.304,1.68,1.447,5.492,2.957,3.95,2.85,5.248,2.101,0.45 
1.061,1.092,1.012,1.573,4.208,2.865,4.143,2.956,3.611,1.813,0.53 
1.511,1.862,1.125,1.614,3.41,2.685,4.608,1.76,3.017,2.507,0.76 
1.448,1.509,1.507,1.416,3.494,2.44,5.179,2.2,4.305,1.561,0.57 
1.273,1.172,1.266,1.369,3.483,2.094,3.128,1.586,3.39,1.896,0.63 
1.364,1.381,1.914,1.468,3.42,2.089,6.088,1.525,5.556,2.945,0.06 
1.469,1.852,1.95,1.573,4.733,1.854,4.186,1.519,5.336,1.954,0.66 
1.218,1.649,1.411,1.7,4.317,2.117,4.875,2.567,4.16,1.73,0.61 
1.771,1.771,1.401,1.549,5.468,2.673,4.349,1.772,3.528,1.699,0.58 
1.13,1.969,1.478,1.832,5.655,2.401,6.283,2.484,5.968,1.696,0.39 
1.517,1.72,1.337,1.38,4.185,2.076,4.548,1.972,3.575,2.836,0.68 
1.363,1.048,1.004,1.648,3.226,2.448,4.336,2.337,6.172,1.915,0.43 
1.284,1.304,1.414,1.177,4.111,3,6.362,2.376,3.388,1.649,0.33 
1.649,1.29,1.497,1.989,3.593,1.756,4.734,1.732,6.225,2.935,0.04 
1.639,1.338,1.171,1.875,5.318,2.375,4.88,1.99,3.345,2.374,0.63 
1.573,1.255,1.801,1.227,5.596,2.034,6.264,2.661,4.919,2.692,0.32 
1.445,1.52,1.129,1.578,5.066,2.117,3.204,1.858,4.672,2.212,0.59 
1.677,1.998,1.231,1.489,5.454,1.57,5.651,2.697,4.434,1.67,0.37 
1.666,1.673,1.184,1.975,4.311,1.695,5.38,1.585,6.228,2.407,0.16 
1.42,1.788,1.53,1.404,3.281,2.799,4.527,1.981,3.888,1.626,0.69 
1.038,1.337,1.979,1.879,6.045,2.712,5.814,1.886,4.593,1.564,0.52 
1.678,1.253,1.552,1.68,4.544,2.367,5.925,2.656,3.707,2.416,0.40 
1.543,1.974,1.382,1.398,3.381,2.651,5.463,2.708,4.154,1.622,0.39 
1.913,1.487,1.084,1.266,4.761,2.732,3.485,2.69,3.836,2.225,0.55 
1.078,1.6,1.745,1.788,6.075,2.222,6.341,2.225,3.597,2.16,0.39 
1.687,1.13,1.707,1.395,3.501,2.613,3.29,1.739,5.115,2.744,0.59 
1.222,1.089,1.098,1.508,5.382,1.978,4.162,2.742,3.973,2.961,0.48 
1.669,1.982,1.104,1.284,4.469,2.313,4.492,2.985,3.842,2.091,0.61 
1.522,1.96,1.919,1.508,6.442,2.118,4.129,1.825,4.779,2.488,0.52 
1.794,1.152,1.721,1.771,5.721,2.238,3.172,1.622,6.339,2.526,0.27 
1.185,1.909,1.666,1.291,3.595,2.158,6.209,1.679,5.206,1.722,0.35 
1.721,1.294,1.189,1.683,3.321,2.131,5.087,2.4,4.553,2.253,0.57 
1.599,1.875,1.691,1.768,3.319,2.379,5.897,1.593,4.983,2.509,0.26 
1.264,1.955,1.412,1.189,5.471,1.845,3.229,2.911,6.002,2.859,0.18 
1.583,1.929,1.724,1.449,5.197,2.239,5.807,1.985,4.495,2.349,0.48 
1.936,1.558,1.724,1.952,3.42,2.182,3.881,1.534,3.104,1.686,0.75 
1.767,1.743,1.563,1.987,3.589,2.156,3.603,2.85,5.586,1.797,0.63 
1.27,1.069,1.033,1.339,4.695,2.104,4.571,2.708,3.189,2.182,0.43 
1.013,1.948,1.136,1.625,4.431,2.343,4.091,2.654,5.728,2.403,0.42 
1.071,1.865,1.338,1.471,4.953,2.864,4.119,1.961,4.24,2.525,0.67 
1.293,1.149,1.588,1.558,4.344,2.12,3.5,2.977,4.472,2.349,0.63 
1.258,1.832,1.548,1.415,4.001,1.841,4.175,2.864,6.16,1.577,0.41 
1.907,1.876,1.546,1.753,3.449,2.358,4.271,2.446,4.359,2.225,0.76 
1.447,1.243,1.99,1.264,5.277,1.652,5.441,1.83,5.614,1.954,0.52 
1.467,1.254,1.231,1.257,6.087,2.5,4.872,1.752,4.199,2.594,0.43 
1.937,1.421,1.523,1.428,6.342,2.305,3.485,1.93,4.741,2.762,0.47 
1.551,1.682,1.553,1.523,3.852,2.315,5.468,1.816,5.416,2.787,0.28 
1.25,1.747,1.668,1.877,3.687,1.966,4.822,2.154,6.281,2.299,0.06 
1.424,1.289,1.863,1.781,3.606,2.808,5.464,1.87,4.845,2.087,0.63 
1.888,1.015,1.643,1.65,5.38,2.627,5.195,2.28,4.414,1.767,0.45 
1.736,1.458,1.511,1.989,3.912,2.965,5.737,2.031,5.193,2.228,0.52 
1.455,1.688,1.73,1.387,4.879,2.718,3.204,2.782,3.371,1.792,0.73 
1.609,1.191,1.865,1.403,3.543,1.75,5.597,2.149,6.045,1.887,0.39 
1.806,1.077,1.863,1.18,4.035,2.969,5.231,2.435,3.084,2.299,0.56 
1.018,1.609,1.954,1.28,4.99,2.027,3.773,2.97,3.129,1.578,0.68 
1.38,1.975,1.856,1.523,3.594,1.56,3.815,1.562,4.96,2.034,0.43 
1.857,1.352,1.377,1.763,5.654,1.826,3.971,2.931,4.217,2.131,0.53 
1.364,1.77,1.17,1.632,3.734,1.86,4.406,1.565,5.04,2.294,0.48 
1.622,1.173,1.651,1.46,6.128,2.634,6.308,2.614,5.379,1.673,0.35 
1.861,1.592,1.629,1.928,6.453,2.805,5.672,2.692,3.118,2.14,0.49 
1.097,1.502,1.65,1.774,3.75,2.118,6.154,2.665,5.973,2.783,0.32 
1.697,1.487,1.984,1.958,6.329,2.709,4.773,2.685,5.599,1.661,0.54 
1.955,1.26,1.277,1.49,4.343,2.467,6.197,2.726,6.07,1.749,0.35 
1.049,1.193,1.746,1.533,3.476,1.547,6.28,2.754,5.151,2.073,0.26 
1.687,1.71,1.045,1.661,6.326,1.763,3.762,2.176,5.22,1.583,0.49 
1.52,1.512,1.174,1.381,4.219,2.524,4.662,2.533,5.945,2.704,0.47 
1.753,1.618,1.715,1.332,4.096,2.566,4.689,2.717,5.741,2.736,0.27 
1.843,1.828,1.847,1.062,4.797,2.46,3.007,2.443,4.031,1.666,0.69 
1.372,1.514,1.64,1.116,3.382,2.116,4.82,1.626,4.445,2.672,0.55 
1.861,1.806,1.703,1.469,4.148,1.801,6.404,2.643,5.646,1.744,0.19 
1.851,1.325,1.984,1.17,4.459,2.844,4.383,2.693,3.977,1.727,0.57 
1.932,1.786,1.973,1.66,6.053,2.791,3.656,1.975,3.505,2.831,0.57 
1.863,1.174,1.467,1.588,5.428,1.6,3.322,2.16,3.191,2.919,0.65 
1.429,1.918,1.898,1.323,4.201,2.613,5.244,2.595,4.364,1.916,0.35 
1.576,1.607,1.787,1.757,5.959,2.276,4.378,2.202,4.728,1.644,0.64 
1.479,1.569,1.649,1.649,4.973,2.537,4.218,2.688,3.406,2.956,0.69 
1.046,1.053,1.382,1.69,4.177,2.743,3.462,1.741,6.221,2.417,0.37 
1.603,1.019,1.345,1.892,4.476,2.377,4.937,2.463,5.752,2.16,0.56 
1.768,1.777,1.688,1.887,5.62,2.279,4.606,2.158,6.311,1.585,0.52 
1.416,1.995,1.589,1.405,6.147,2.807,3.819,2.831,4.635,1.987,0.46 
1.812,1.119,1.547,1.736,5.427,2.901,4.069,1.67,5.864,1.683,0.55 
1.038,1.062,1.408,1.42,5.951,2.818,4.041,2.445,6.039,2.903,0.40 
1.423,1.302,1.915,1.997,4.688,2.783,5.353,2.457,4.106,2.361,0.61 
1.373,1.411,1.028,1.365,3.487,2.883,4.347,2.535,5.846,2.201,0.49 
1.517,1.575,1.545,1.4,4.628,1.672,6.22,2.796,5.053,2.038,0.30 
1.913,1.067,1.371,1.003,4.539,2.611,5.388,2.679,5.799,2.919,0.37 
1.964,1.996,1.779,1.882,4.538,2.985,5.468,2.781,5.939,1.724,0.37 
1.227,1.051,1.684,1.151,3.373,1.949,5.274,2.978,5.807,2.165,0.32 
1.063,1.611,1.12,1.501,3.137,2.496,5.542,1.91,4.051,1.672,0.50 
1.785,1.533,1.214,1.29,4.826,2.217,3.247,1.752,6.412,2.385,0.43 
1.134,1.334,1.734,1.551,4.777,2.296,6.258,2.085,4.145,1.776,0.40 
1.278,1.499,1.332,1.827,4.485,2.53,4.159,2.734,4.452,2.882,0.57 
1.604,1.286,1.539,1.917,5.665,2.44,4.202,1.833,3.363,2.403,0.69 
1.086,1.969,1.001,1.295,4.499,2.906,4.171,2.889,5.211,1.621,0.54 
1.519,1.896,1.045,1.194,3.532,2.964,3.578,2.779,5.828,1.567,0.58 
1.053,1.294,1.017,1.279,4.326,2.098,6.342,1.809,6.124,2.126,0.25 
1.877,1.529,1.581,1.612,5.905,1.675,4.086,2.186,5.334,1.621,0.57 
1.228,1.562,1.903,1.337,5.461,2.961,4.539,2.34,3.312,1.516,0.57 
1.687,1.931,1.093,1.282,3.422,2.402,3.093,1.59,5.803,1.889,0.60 
1.724,1.65,1.885,1.715,4.433,2.881,5.327,2.868,4.003,2.463,0.35 
1.163,1.269,1.147,1.806,5.849,2.634,5.664,2.346,3.938,2.415,0.49 
1.349,1.952,1.841,1.11,6.135,1.581,5.277,1.943,5.14,2.643,0.40 
1.962,1.05,1.3,1.787,5.724,2.187,6.245,1.615,3.728,2.742,0.43 
1.17,1.303,1.638,1.298,3.768,2.348,3.847,2.144,5.217,2.956,0.43 
1.865,1.691,1.503,1.251,5.8,1.867,5.543,1.597,4.75,2.896,0.42 
1.669,1.15,1.756,1.871,6.453,2.961,4.272,2.382,6.138,1.567,0.55 
1.817,1.041,1.679,1.534,3.216,2.255,5.397,2.063,5.919,2.502,0.36 
1.641,1.484,1.617,1.898,4.809,1.893,5.622,1.539,5.651,1.571,0.58 
1.718,1.611,1.141,1.648,3.556,1.575,3.204,2.463,5.113,2.198,0.57 
1.485,1.57,1.505,1.76,4.536,2.563,4.968,2.632,3.658,2.326,0.67 
1.893,1.813,1.009,1.671,3.222,2.784,5.666,1.682,4.86,1.769,0.63 
1.067,1.016,1.51,1.97,4.315,2.195,5.803,2.913,5.432,2.25,0.34 
1.619,1.982,1.268,1.18,6.3,1.835,6.435,2.224,4.481,2.176,0.37 
1.78,1.189,1.377,1.236,6.054,2.077,6.16,2.585,3.052,2.619,0.32 
1.644,1.458,1.64,1.267,3.83,1.76,3.443,2.374,6.393,2.902,0.08 
1.982,1.539,1.684,1.56,3.789,1.772,4.599,2.554,5.607,2.69,0.27 
1.084,1.523,1.917,1.169,6.162,2.012,3.944,2.635,6.462,1.784,0.48 
1.461,1.834,1.243,1.651,4.285,2.067,4.462,2.876,4.939,2.662,0.42 
1.609,1.449,1.913,1.034,3.809,1.733,5.606,2.496,3.104,2.249,0.22 
1.072,1.858,1.14,1.433,4.624,1.723,5.601,2.346,3.512,1.799,0.50 
1.332,1.473,1.689,1.866,3.48,2.36,3.158,1.812,5.539,2.144,0.40 
1.225,1.59,1.318,1.933,4.35,2.305,5.971,1.879,5.165,2.247,0.57 
1.3,1.948,1.214,1.175,4.206,1.762,5.415,2.355,5.883,2.053,0.27 
1.354,1.408,1.098,1.325,5.436,1.654,5.783,1.613,4.323,2.845,0.43 
1.991,1.469,1.113,1.359,4.238,2.806,3.72,2.825,3.984,2.803,0.55 
1.047,1.335,1.564,1.411,4.147,2.291,5.119,1.909,3.95,2.481,0.61 
1.73,1.254,1.651,1.359,5.132,1.545,6.096,2.379,4.188,1.555,0.31 
1.975,1.865,1.201,1.327,5.085,1.794,5.198,2.661,3.294,1.785,0.43 
1.428,1.552,1.635,1.608,5.7,1.929,4.662,2.962,6.455,2.674,0.18 
1.29,1.404,1.702,1.749,5.458,1.963,4.206,2.099,3.221,1.71,0.74 
1.55,1.369,1.352,1.815,4.74,2.736,4.608,2.99,5.484,1.78,0.59 
1.638,1.854,1.348,1.382,4.384,2.297,4.859,2.998,5.187,2.791,0.25 
1.711,1.292,1.235,1.605,5.229,2.117,3.271,2.693,6.287,2.669,0.32 
1.447,1.368,1.862,1.015,6.259,2.596,3.63,1.969,6.136,2.14,0.50 
1.823,1.685,1.391,1.556,3.886,2.953,5.611,1.649,3.374,1.513,0.63 
1.653,1.81,1.154,1.919,6.5,2.732,3.306,2.751,3.887,2.458,0.50 
1.184,1.046,1.658,1.658,4.291,2.922,3.143,2.815,5.465,2.517,0.52 
1.503,1.951,1.85,1.875,5.706,1.881,4.794,2.182,4.79,1.635,0.61 
1.418,1.804,1.34,1.728,5.974,1.971,6.105,2.103,3.919,2.458,0.42 
1.614,1.94,1.027,1.607,5.53,1.764,5.861,1.761,6.205,2.7,0.28 
1.682,1.334,1.285,1.806,4.148,2.093,3.423,1.786,5.284,2.268,0.62 
1.922,1.06,1.043,1.906,4.314,2.701,4.708,2.485,5.111,2.21,0.58 
1.028,1.479,1.447,1.081,5.002,2.1,3.266,2.806,5.144,2.592,0.48 
1.697,1.327,1.88,1.229,5.279,1.514,4.574,2.871,5.368,2.833,0.30 
1.355,1.346,1.615,1.349,3.741,2.801,4.231,2.245,6.2,2.489,0.42 
1.262,1.946,1.906,1.039,6.323,2.587,3.275,2.844,4.95,2.208,0.50 
