tr1,br1,d1,t2,xr1,yr1,xr2,yr2,xr3,yr3,EAB
8.226,15.95,1.994,8.15,12.443,6.243,15.165,4.166,15.102,3.367,139
7.235,12.416,1.381,8.688,12.782,5.321,12.095,5.829,14.59,3.626,138
7.309,15.744,1.353,8.157,12.335,4.149,14.198,5.113,12.177,4.153,137
7.41,12.936,1.057,9.656,10.736,5.385,11.052,3.228,10.832,4.811,137
10.618,16.195,1.942,8.984,11.516,5.076,11.247,4.051,12.534,4.486,141
11.542,15.893,1.223,8.827,12.212,6.415,12.693,3.666,10.112,3.893,141
7.2,16.282,1.11,9.751,10.043,3.444,11.676,4.477,14.676,4.836,138
6.615,16.879,1.424,8.588,14.128,5.331,10.53,5.39,13.124,5.271,138
9.819,17.981,1.463,9.728,14.666,4.215,15.189,3.108,10.972,6.148,140
9.187,14.883,1.623,8.63,15.066,3.677,11.04,3.027,14.96,4.269,139
8.317,15.167,1.154,9.86,10.449,5.766,14.764,4.608,12.394,3.305,140
7.503,15.795,1.019,8.323,12.841,3.934,13.222,4.311,14.989,5.465,138
7.487,12.777,1.821,8.392,14.079,5.302,10.331,4.665,13.492,5.174,135
10.084,14.798,1.772,9.603,14.424,3.277,11.234,6.221,14.492,4.889,141
8.784,14.491,1.33,9.645,13.106,5.037,13.304,4.515,12.601,5.22,140
5.904,17.896,1.051,9.913,12.31,5.872,14.108,5.047,13.929,4.432,138
8.743,17.18,1.985,8.024,10.601,6.133,15.341,6.287,12.506,3.43,132
8.75,14.842,1.317,9.784,10.7,3.074,13.261,4.592,13.439,6.084,140
6.425,14.365,1.352,8.304,12.448,3.638,12.924,3.253,12.045,3.518,136
11.847,19.698,1.235,8.598,11.606,5.655,12.794,6.016,11.924,5.355,138
8.747,14.945,1.363,8.272,11.787,4.386,11.624,5.375,12.901,5.655,140
11.349,19.29,1.127,9.117,11.234,3.887,14.821,3.034,13.846,5.002,138
5.034,15.444,1.851,8.768,11.302,4.118,13.667,5.731,13.553,6.209,137
8.795,17.804,1.38,8.314,10.253,6.124,14.299,4.48,11.582,5.397,139
11.644,12.014,1.169,9.21,11.379,5.294,11.656,5.192,14.617,3.721,139
11.108,17.769,1.691,9.094,11.322,3.717,11.097,6.441,12.945,3.171,141
11.003,14.465,1.056,9.645,10.337,4.828,14.049,4.461,13.084,5.109,141
8.25,13.686,1.594,8.45,12.969,5.885,11.296,5.969,10.24,3.479,138
11.891,12.549,1.407,9.406,10.729,5.25,15.271,3.828,15.157,3.336,140
10.111,14.541,1.133,8.628,11.685,6.399,14.448,3.096,15.461,3.995,139
6.339,16.773,1.091,9.418,11.957,6.498,13.054,3.747,12.205,4.513,138
10.733,19.464,1.118,8.855,10.355,4.683,13.776,6.134,13.983,5.003,138
7.955,19.963,1.489,8.242,10.656,3.856,13.372,4.609,10.04,5.687,138
10.467,18.78,1.859,8.195,11.868,6.197,11.554,4.498,10.864,3.691,138
10.05,17.856,1.901,8.888,11.124,5.25,10.075,5.803,12.017,4.795,141
6.14,16.691,1.78,9.099,12.52,5.711,10.656,4.542,11.118,6.002,139
6.386,14.951,1.472,8.486,12.238,5.901,11.588,5.934,13.191,3.507,137
9.852,19.86,1.828,8.21,12.586,4.328,11.99,5.124,14.556,3.662,139
