tr1,br1,d1,t2,xr1,yr1,xr2,yr2,xr3,yr3,EAB
10.507,14.006,2.145,9.335,10.837,1.179,14.79,6.376,10.617,5.868,82
11.4,17.179,3.229,9.221,11.379,6.409,11.057,5.099,14.664,5.692,57
9.209,15.658,3.28,8.019,11.353,4.904,10.104,5.522,11.215,1.559,88
6.568,12.605,3.062,8.568,12.37,6.418,10.734,3.014,14.411,1.5,67
11.595,13.705,2.228,8.372,13.345,1.23,12.637,6.132,14.545,2.221,67
10.575,14.613,3.164,9.379,14.984,4.616,11.654,5.821,12.983,1.747,76
10.386,16.523,2.925,9.656,14.323,4.153,13.075,1.355,10.787,4.696,71
9.524,19.798,3.328,9.304,15.344,2.677,13.91,6.137,12.574,1.965,91
11.057,17.079,2.211,9.87,13.657,3.74,13.443,5.198,10.429,4.235,72
7.041,13.501,3.139,8.321,13.792,1.869,15.075,4.367,13.37,5.657,60
9.26,19.332,2.889,9.648,14.1,3.493,14.687,5.208,10.917,4.497,70
7.939,14.805,2.598,8.487,12.117,3.8,14.154,5.758,12.07,4.641,83
10.756,14.895,3.416,8.258,11.509,5.135,13.512,2.904,13.536,3.339,78
10.372,12.43,2.536,8.193,12.131,1.626,11.141,3.195,10.193,1.598,59
9.193,16.222,2.111,8.76,13.49,5.606,12.074,4.641,13.021,5.417,89
7.58,19.761,3.336,8.491,13.697,5.913,12.625,2.291,10.99,6.248,71
8.581,16.547,2.514,8.377,14.957,2.325,13.887,4.31,11.628,5.417,89
10.805,17.275,1.718,8.042,13.067,3.558,12.718,5.064,14.104,5.33,73
5.807,14.85,2.8,9.171,15.338,5.503,15.066,2.068,13.146,3.95,89
10.481,18.602,1.624,8.258,10.639,3.947,14.76,3.252,14.311,2.795,73
6.022,16.084,3.375,9.044,10.918,4.069,13.749,1.497,10.096,5.402,56
6.288,12.482,1.446,9.2,12.5,4.776,13.545,2.056,13.473,3.899,79
7.258,16.919,3.057,8.167,14.039,4.987,13.813,1.885,13.08,4.812,95
9.168,16.855,1.122,9.795,12.852,4.2,14.568,4.371,13.546,1.112,43
6.116,15.248,2.971,8.874,10.657,4.529,12.759,5.036,14.541,1.039,88
5.892,13.35,1.372,8.92,13.192,1.74,15.495,3.784,10.762,6.01,81
9.861,13.713,1.062,8.088,12.486,5.793,10.343,3.788,12.895,4.799,62
6.271,14.412,1.079,8.942,10.349,4.602,15.369,4.401,13.839,3.579,66
8.776,15.496,1.35,8.354,10.702,1.507,11.343,4.657,11.284,1.846,44
9.611,15.313,2.585,8.253,14.736,3.861,15.276,5.791,12.834,5.1,71
6.111,14.624,3.333,8.522,14.962,3.43,15.059,2.282,12.429,4.848,64
10.5,19.316,3.419,8.372,14.433,3.149,15.452,4.1,14.993,4.536,78
10.485,19.039,3.169,8.16,12.203,4.378,14.399,2.092,11.818,5.765,79
6.523,16.218,1.721,8.184,12.455,3.79,11.072,2.63,13.706,3.593,77
11.063,12.686,2.034,8.749,12.467,3.697,13.678,3.369,10.709,6.267,84
9.001,14.541,1.379,8.855,14.317,1.542,13.696,5.918,12.437,3.88,91
8.375,14.868,3.289,9.726,10.729,4.201,10.962,6.117,12.696,3.989,73
5.339,15.61,1.639,8.017,10.75,3.386,12.621,1.64,13.726,4.84,84
9.099,15.109,1.355,8.439,15.477,1.395,14.602,3.434,14.305,2.173,47
7.09,13.772,2.216,8.76,14.189,4,13.105,3.353,12.629,4.859,91
8.673,13.79,1.432,8.07,11.499,5.022,12.286,6.275,13.861,2.991,93
6.316,15.009,1.157,8.004,12.376,1.884,10.721,4.402,14.704,5.756,78
10.06,18.802,2.952,8.598,13.149,3.721,11.731,1.812,10.626,2.601,87
9.353,14.187,1.478,9.817,13.205,5.767,11.294,4.012,13.402,1.54,51
11.526,12.455,3.406,8.857,15.048,6.366,10.881,2.287,12.905,3.225,61
5.554,19.198,1.349,8.23,11.156,1.244,10.689,5.386,12.97,1.135,63
11.762,18.913,2.946,8.758,12.961,4.853,11.206,3.042,10.653,5.307,88
5.131,14.24,1.326,9.123,10.929,4.307,10.908,3.843,15.236,5.474,86
7.202,14.389,1.383,9.726,11.844,2.914,14.475,1.152,13.772,6.03,79
10.661,14.495,3.408,9.742,10.143,1.186,14.247,2.287,12.369,5.153,42
8.88,18.357,2.991,8.429,12.284,5.223,12.1,3.312,12.611,5.762,85
7.374,16.439,2.934,9.401,10.704,5.684,11.483,6.072,13.984,1.545,83
11.662,12.027,3.246,9.854,13.323,1.369,11.921,3.935,11.396,4.708,48
11.797,12.044,3.072,9.94,10.205,5.915,10.346,1.543,13.201,2.067,49
6.21,14.343,2.897,8.79,11.897,3.973,12.537,5.09,13.07,2.325,91
11.869,15.129,2.942,9.505,15.463,4.129,10.235,2.311,13.516,3.508,61
8.508,17.739,1.002,9.783,14.876,5.006,14.038,4.243,12.779,3.799,41
6.094,12.089,1.606,8.2,13.057,4.034,13.434,2.547,10.091,2.093,47
8.306,17.913,2.326,8.634,10.94,3.103,13.756,4.941,10.496,2.114,75
9.851,17.275,1.471,9.183,10.475,6.298,11.798,3.861,14.321,5.711,92
7.313,15.868,3.245,9.484,11.77,4.415,15.388,3.883,12.004,6.039,50
5.443,17.258,3.351,9.765,11.227,4.143,11.653,4.54,15.301,4.472,68
6.494,18.468,1.534,8.568,10.801,1.307,11.105,4.034,12.233,5.55,75
11.977,16.238,1.707,8.079,10.035,1.213,13.888,2.209,11.029,1.513,55
8.312,19.757,1.695,8.682,13.004,1.93,14.497,1.715,12.684,5.506,77
6.671,14.843,2.339,9.873,14.461,5.127,11.979,3.201,13.979,5.233,90
5.254,13.3,1.196,9.451,11.444,4.99,10.48,2.835,11.918,2.608,57
6.687,14.564,1.039,8.996,14.082,2.397,12.918,1.697,15.381,2.375,56
6.485,17.781,1.791,9.425,14.601,3.738,10.006,5.188,15.353,3.455,83
8.076,16.086,2.966,8.14,13.566,5.63,11.8,4.411,10.841,5.626,96
10.986,14.125,1.275,9.098,11.17,1.483,15.198,1.989,14.345,2.735,72
6.931,15.757,1.27,9.398,12.265,2.687,13.035,3.393,11.132,2.655,55
6.999,16.378,2.351,8.9,14.846,1.689,11.265,4.065,13.793,2.84,83
9.348,16.452,2.225,9.196,13.685,3.216,12.427,5.719,14.297,4.764,76
11.144,14.611,1.467,9.217,15.318,4.433,10.805,3.885,14.254,4.972,99
10.275,17.067,2.879,9.173,13.434,1.243,11.108,6.142,11.394,5.578,73
10.035,12.081,1.791,8.512,10.952,5.282,13.86,5.333,11.294,3.519,86
8.863,12.917,1.007,9.564,10.519,5.221,14.049,5.983,13.013,3.932,69
6.749,14.915,3.198,8.61,15.408,6.39,13.826,3.916,11.568,1.754,89
5.384,19.266,3.354,8.641,12.584,3.741,12.647,2.807,14.915,5.899,50
6.988,12.551,3.409,9.198,10.168,2.845,11.582,2.807,12.858,3.656,51
5.349,14.248,1.964,8.795,13.977,1.788,14.115,4.706,10.904,6.1,82
7.277,15.206,3.192,8.616,10.213,3.581,13.949,4.42,13.559,5.399,68
10.874,13.434,2.084,8.805,10.72,1.254,12.657,4.695,15.294,6.254,61
9.041,18.602,2.231,8.996,11.327,5.896,11.83,2.413,15.338,1.802,70
10.93,12.282,1.43,8.853,14.771,5.593,14.667,2.059,10.573,5.11,80
8.916,18.205,1.097,8.806,13.774,4.864,13.15,1.812,12.96,3.789,48
6.543,16.736,1.814,9.868,10.672,4.82,12.937,6.172,13.637,1.196,88
10.114,15.24,3.418,8.871,11.823,6.202,10.452,4.164,12.012,5.165,65
5.546,18.208,2.909,9.741,14.944,4.256,11.102,5.09,11.186,3.062,100
5.21,16.71,1.174,8.929,11.852,2.878,13.253,1.899,13.505,4.733,73
8.981,13.206,1.662,9.984,10.843,3.698,15.312,4.97,12.652,5.92,109
10.185,19.69,2.238,8.782,12.534,5.015,14.028,1.322,11.598,5.573,81
7.74,19.849,2.123,9.39,12.336,1.441,11.868,1.614,15.276,6.38,61
9.063,14.13,3.051,9.109,15.314,6.377,12.427,2.893,14.916,4.018,79
11.543,15.528,1.701,8.268,13.395,1.31,12.798,1.172,14.17,3.175,62
7.996,18.427,3.098,8.002,15.182,4.5,10.582,2.248,11.207,5.618,92
9.833,19.946,1.123,9.792,10.49,3.643,12.111,6.309,11.498,6.069,68
9.132,14.014,1.534,8.286,12.464,1.748,10.621,1.097,12.318,3.654,67
5.71,15.815,1.599,8.056,13.868,2.375,11.718,2.392,14.619,6.361,80
5.12,17.21,2.642,9.689,12.123,5.352,15.239,3.441,11.226,1.489,74
8.462,19.431,1.466,9.376,15.492,2.165,14.745,2.975,10.311,2.656,45
7.584,18.587,2.984,8.917,12.8,3.224,12.941,2.788,10.102,3.299,91
